ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL,BULK_GAS,PORV_GAS,HCPV_GAS,GIIP_GAS,ASSOCIATEDOIL_GAS
Valysar,WestLowland,6563009,888454,509693,355434,50045130,0,0,0,0,0
Valysar,CentralSouth,65480159,12362573,9258009,6456073,909015118,0,0,0,0,0
Valysar,CentralNorth,38596610,7176476,5348950,3730091,525196809,0,0,0,0,0
Valysar,NorthHorst,3165382,456461,234185,143849,28179932,23167996,3338896,2295912,533933054,81692
Valysar,CentralRamp,13526326,2125690,1419898,990166,139415413,0,0,0,0,0
Valysar,CentralHorst,87717174,15368534,12142485,8467563,1192232900,0,0,0,0,0
Valysar,EastLowland,3461256,588814,390209,272113,38313446,0,0,0,0,0
Therys,WestLowland,2613246,494135,251557,175423,24699586,0,0,0,0,0
Therys,CentralSouth,15575585,3203962,1823675,1271740,179060974,0,0,0,0,0
Therys,CentralNorth,22755212,3966373,2287283,1595037,224581257,0,0,0,0,0
Therys,NorthHorst,4664311,684508,284905,175003,34283112,18355725,3022309,1928473,448482007,68618
Therys,CentralRamp,6713338,1488250,1157120,806918,113614035,0,0,0,0,0
Therys,CentralHorst,34054799,8449066,6481229,4519686,636371762,0,0,0,0,0
Therys,EastLowland,0,0,0,0,0,0,0,0,0,0
Volon,WestLowland,343100,52968,29354,20470,2882165,0,0,0,0,0
Volon,CentralSouth,35800827,6426250,4634975,3232200,455093818,0,0,0,0,0
Volon,CentralNorth,6664071,1004659,608815,424557,59777654,0,0,0,0,0
Volon,NorthHorst,2540718,456881,342721,210516,41240145,5541848,922984,730201,169814189,25982
Volon,CentralRamp,10411544,1945646,1405750,980300,138026258,0,0,0,0,0
Volon,CentralHorst,82060851,14120172,10155119,7081673,997099551,0,0,0,0,0
Volon,EastLowland,0,0,0,0,0,0,0,0,0,0
