ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL,BULK_GAS,PORV_GAS,HCPV_GAS,GIIP_GAS,ASSOCIATEDOIL_GAS
Valysar,WestLowland,4908777,907706,656105,457535,64420878,0,0,0,0,0
Valysar,CentralSouth,61187664,11837944,8580209,5983409,842464030,0,0,0,0,0
Valysar,CentralNorth,33770218,6027043,4478037,3122759,439684530,0,0,0,0,0
Valysar,NorthHorst,3892998,437426,178043,109363,21424162,24619636,3443915,2422964,563479997,86212
Valysar,CentralRamp,13747335,2193823,1557578,1086177,152933737,0,0,0,0,0
Valysar,CentralHorst,84200356,15825571,12501383,8717841,1227471993,0,0,0,0,0
Valysar,EastLowland,288978,60314,18369,12809,1803577,0,0,0,0,0
Therys,WestLowland,2193689,441769,211226,147299,20739669,0,0,0,0,0
Therys,CentralSouth,8500791,1848858,1117098,779008,109684369,0,0,0,0,0
Therys,CentralNorth,17887695,3590542,2057685,1434927,202037662,0,0,0,0,0
Therys,NorthHorst,6664376,984463,401514,246630,48314828,17247277,3020415,1943652,452012156,69158
Therys,CentralRamp,6771661,1622117,1223772,853398,120158411,0,0,0,0,0
Therys,CentralHorst,27583139,6562622,4983722,3475399,489336164,0,0,0,0,0
Therys,EastLowland,0,0,0,0,0,0,0,0,0,0
Volon,WestLowland,252999,52347,26481,18467,2600133,0,0,0,0,0
Volon,CentralSouth,27242209,4757742,3270218,2280487,321092573,0,0,0,0,0
Volon,CentralNorth,4254815,446383,109310,76228,10732844,0,0,0,0,0
Volon,NorthHorst,4881325,804654,541568,332659,65167798,2929122,513844,414344,96359166,14743
Volon,CentralRamp,11795714,2268293,1852942,1292149,181934599,0,0,0,0,0
Volon,CentralHorst,78127558,14498960,11806516,8233275,1159245180,0,0,0,0,0
Volon,EastLowland,0,0,0,0,0,0,0,0,0,0
