ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL,BULK_GAS,PORV_GAS,HCPV_GAS,GIIP_GAS,ASSOCIATEDOIL_GAS
Valysar,WestLowland,4926419,860868,656030,457483,64413564,0,0,0,0,0
Valysar,CentralSouth,67824469,12360873,9271212,6465281,910311540,0,0,0,0,0
Valysar,CentralNorth,36376771,6227198,4674607,3259837,458985103,0,0,0,0,0
Valysar,NorthHorst,4782341,431546,178291,109515,21454004,24618365,3057056,1974895,459277847,70270
Valysar,CentralRamp,13746446,2101302,1455994,1015337,142959513,0,0,0,0,0
Valysar,CentralHorst,86371295,14944281,11683734,8147653,1147189558,0,0,0,0,0
Valysar,EastLowland,291997,72367,35832,24988,3518250,0,0,0,0,0
Therys,WestLowland,2204974,420866,221527,154482,21751049,0,0,0,0,0
Therys,CentralSouth,12476404,2744183,1752193,1221892,172042361,0,0,0,0,0
Therys,CentralNorth,20648668,4006014,2418632,1686633,237477950,0,0,0,0,0
Therys,NorthHorst,8151091,1264625,559293,343546,67300637,17244197,2870153,1895640,440846435,67450
Therys,CentralRamp,6770890,1512968,1154972,805420,113403128,0,0,0,0,0
Therys,CentralHorst,29243345,7167667,5475742,3818509,537646084,0,0,0,0,0
Therys,EastLowland,0,0,0,0,0,0,0,0,0,0
Volon,WestLowland,254401,33632,13585,9474,1333905,0,0,0,0,0
Volon,CentralSouth,35017667,6350975,4484336,3127152,440303024,0,0,0,0,0
Volon,CentralNorth,6832817,892708,425740,296890,41802059,0,0,0,0,0
Volon,NorthHorst,5572991,1035016,816079,501277,98200214,2936745,539240,487181,113297948,17335
Volon,CentralRamp,12639541,2259108,1745467,1217202,171382014,0,0,0,0,0
Volon,CentralHorst,80611071,14401621,11249028,7844510,1104507096,0,0,0,0,0
Volon,EastLowland,0,0,0,0,0,0,0,0,0,0
