ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL,BULK_GAS,PORV_GAS,HCPV_GAS,GIIP_GAS,ASSOCIATEDOIL_GAS
Valysar,WestLowland,4908777,855841,615242,429039,60408656,0,0,0,0,0
Valysar,CentralSouth,67833576,12356736,9195952,6412798,902921993,0,0,0,0,0
Valysar,CentralNorth,36382608,6223401,4615284,3218468,453160374,0,0,0,0,0
Valysar,NorthHorst,4782407,425900,167139,102665,20112059,24619636,3062292,1979974,460459015,70450
Valysar,CentralRamp,13747335,2101422,1456081,1015398,142968088,0,0,0,0,0
Valysar,CentralHorst,86367811,14939033,11635377,8113931,1142441564,0,0,0,0,0
Valysar,EastLowland,288978,72408,25597,17850,2513251,0,0,0,0,0
Therys,WestLowland,2193689,419783,200514,139828,19687829,0,0,0,0,0
Therys,CentralSouth,12475726,2743646,1703409,1187872,167252427,0,0,0,0,0
Therys,CentralNorth,20653864,4004096,2368347,1651567,232540621,0,0,0,0,0
Therys,NorthHorst,8150674,1260675,538463,330751,64794165,17247277,2870586,1890629,439681061,67271
Therys,CentralRamp,6771661,1512117,1154683,805218,113374689,0,0,0,0,0
Therys,CentralHorst,29249147,7159512,5459027,3806853,536004870,0,0,0,0,0
Therys,EastLowland,0,0,0,0,0,0,0,0,0,0
Volon,WestLowland,252999,32899,7778,5424,763672,0,0,0,0,0
Volon,CentralSouth,35001289,6406905,4283957,2987417,420628392,0,0,0,0,0
Volon,CentralNorth,6828593,898570,404057,281769,39673107,0,0,0,0,0
Volon,NorthHorst,5577924,1027396,793504,487410,95483670,2929122,542530,488946,113708313,17397
Volon,CentralRamp,12644289,2258764,1731156,1207222,169976819,0,0,0,0,0
Volon,CentralHorst,80624036,14415362,11190138,7803443,1098724865,0,0,0,0,0
Volon,EastLowland,0,0,0,0,0,0,0,0,0,0
