ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL,BULK_GAS,PORV_GAS,HCPV_GAS,GIIP_GAS,ASSOCIATEDOIL_GAS
Valysar,WestLowland,6845079,1091619,599804,418274,58892925,0,0,0,0,0
Valysar,CentralSouth,48820712,9702494,7520479,5244407,738412466,0,0,0,0,0
Valysar,CentralNorth,26870384,4469662,3250077,2266442,319114991,0,0,0,0,0
Valysar,NorthHorst,4004028,516127,270823,166353,32588611,26306610,3566402,2390664,555968370,85063
Valysar,CentralRamp,13813900,2414414,1870105,1304118,183619817,0,0,0,0,0
Valysar,CentralHorst,76994338,12958250,9895374,6900540,971596011,0,0,0,0,0
Valysar,EastLowland,1620663,233774,97349,67886,9558375,0,0,0,0,0
Therys,WestLowland,2566963,491252,245688,171330,24123296,0,0,0,0,0
Therys,CentralSouth,2630206,768439,496683,346362,48767757,0,0,0,0,0
Therys,CentralNorth,13994316,2625512,1469666,1024872,144301931,0,0,0,0,0
Therys,NorthHorst,8360063,1175403,473106,290606,56929699,18150919,2653446,1634061,380014105,58142
Therys,CentralRamp,6526361,1472049,1081789,754385,106217479,0,0,0,0,0
Therys,CentralHorst,23763518,6240290,4929475,3437570,484009802,0,0,0,0,0
Therys,EastLowland,239,81,39,27,3839,0,0,0,0,0
Volon,WestLowland,413627,59333,35844,24996,3519382,0,0,0,0,0
Volon,CentralSouth,24986232,4697686,3518847,2453868,345504662,0,0,0,0,0
Volon,CentralNorth,2736131,395068,203895,142186,20019806,0,0,0,0,0
Volon,NorthHorst,5970112,1073733,795446,488603,95717355,2740585,492791,417511,97095502,14856
Volon,CentralRamp,10244245,1864757,1387918,967865,136275363,0,0,0,0,0
Volon,CentralHorst,73820113,12572499,9326525,6503853,915742490,0,0,0,0,0
Volon,EastLowland,4742,0,0,0,0,0,0,0,0,0
