ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL,BULK_GAS,PORV_GAS,HCPV_GAS,GIIP_GAS,ASSOCIATEDOIL_GAS
Valysar,WestLowland,11781275,2391658,1661917,1158938,163178495,0,0,0,0,0
Valysar,CentralSouth,61065134,11603336,8764493,6111920,860558375,0,0,0,0,0
Valysar,CentralNorth,34755023,5381862,3744481,2611214,367658958,0,0,0,0,0
Valysar,NorthHorst,4238811,729025,425527,261380,51204376,24066779,3268487,2191359,509618269,77972
Valysar,CentralRamp,14093813,2301744,1586760,1106527,155798991,0,0,0,0,0
Valysar,CentralHorst,84988355,11800027,8245468,5749978,809596932,0,0,0,0,0
Valysar,EastLowland,638825,89341,27493,19172,2699404,0,0,0,0,0
Therys,WestLowland,4242433,655618,299773,209046,29433747,0,0,0,0,0
Therys,CentralSouth,12633786,2670782,1648301,1149443,161841516,0,0,0,0,0
Therys,CentralNorth,19422688,3727850,2129513,1485016,209090291,0,0,0,0,0
Therys,NorthHorst,5177919,790859,324005,199020,38988081,17692606,2987704,1900774,442040396,67632
Therys,CentralRamp,6587166,1614778,1199876,836734,117812132,0,0,0,0,0
Therys,CentralHorst,26737330,7069639,5437256,3791671,533867315,0,0,0,0,0
Therys,EastLowland,0,0,0,0,0,0,0,0,0,0
Volon,WestLowland,865838,126135,69244,48287,6798818,0,0,0,0,0
Volon,CentralSouth,25574270,4405597,2854152,1990343,280240354,0,0,0,0,0
Volon,CentralNorth,5895900,853020,456301,318202,44802808,0,0,0,0,0
Volon,NorthHorst,2565664,492692,358414,220156,43128527,5112856,897587,690850,160662728,24581
Volon,CentralRamp,9201913,1587187,1122719,782928,110236278,0,0,0,0,0
Volon,CentralHorst,80031439,14015109,10859240,7572692,1066235090,0,0,0,0,0
Volon,EastLowland,0,0,0,0,0,0,0,0,0,0
