ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL
Valysar,WestLowland,4926419,857845,608605,424411,59757069
Valysar,CentralSouth,60366342,10698654,7639342,5327296,750083225
Valysar,CentralNorth,33489952,5804878,4150083,2894060,407483718
Valysar,NorthHorst,2761558,409340,246843,151623,29702999
Valysar,CentralRamp,13746446,2166680,1463101,1020294,143657328
Valysar,CentralHorst,83973871,14526091,10788005,7523016,1059240688
Valysar,EastLowland,291997,50216,19482,13586,1912888
Therys,WestLowland,2204974,427423,221805,154676,21778313
Therys,CentralSouth,8215681,1797717,1101803,768343,108182644
Therys,CentralNorth,17559935,3590461,2127486,1483603,208891246
Therys,NorthHorst,4772695,748589,299400,183907,36027299
Therys,CentralRamp,6770890,1532956,1139172,794402,111851798
Therys,CentralHorst,27405046,6801630,5256832,3665852,516152039
Therys,EastLowland,0,0,0,0,0
Volon,WestLowland,254401,41581,22110,15418,2170887
Volon,CentralSouth,26513975,4681071,3424895,2388351,336279845
Volon,CentralNorth,4040798,570416,326627,227773,32070471
Volon,NorthHorst,3004668,563882,424762,260911,51112379
Volon,CentralRamp,11693521,2098855,1559810,1087734,153152920
Volon,CentralHorst,77869416,14093999,11155507,7779293,1095324541
Volon,EastLowland,0,0,0,0,0
