ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL,BULK_GAS,PORV_GAS,HCPV_GAS,GIIP_GAS,ASSOCIATEDOIL_GAS
Valysar,WestLowland,5490535,867730,443426,309223,43538632,0,0,0,0,0
Valysar,CentralSouth,69135341,12383514,9169622,6394436,900336657,0,0,0,0,0
Valysar,CentralNorth,38802709,6521445,4758054,3318029,467178525,0,0,0,0,0
Valysar,NorthHorst,4720841,726814,362902,222913,43668581,24276971,2819196,1730310,402397719,61567
Valysar,CentralRamp,13469911,2013530,1402675,978156,137724325,0,0,0,0,0
Valysar,CentralHorst,86162413,13902952,10617039,7403793,1042454129,0,0,0,0,0
Valysar,EastLowland,491477,106319,53535,37333,5256441,0,0,0,0,0
Therys,WestLowland,2101243,422085,180883,126138,17760301,0,0,0,0,0
Therys,CentralSouth,16421859,3952389,2545046,1774788,249890160,0,0,0,0,0
Therys,CentralNorth,19635914,3688591,2134397,1488422,209569843,0,0,0,0,0
Therys,NorthHorst,6268735,839834,275175,169027,33112324,17061947,2917747,1803175,419343032,64159
Therys,CentralRamp,6700524,1586277,1276477,890151,125333267,0,0,0,0,0
Therys,CentralHorst,30676160,7684617,5959515,4155868,585146284,0,0,0,0,0
Therys,EastLowland,0,0,0,0,0,0,0,0,0,0
Volon,WestLowland,217724,38527,16367,11413,1606996,0,0,0,0,0
Volon,CentralSouth,34259045,6551855,4706416,3282020,462108391,0,0,0,0,0
Volon,CentralNorth,5602097,737315,328885,229348,32292226,0,0,0,0,0
Volon,NorthHorst,4284604,708026,474291,291334,57072246,3612132,613668,496377,115436402,17662
Volon,CentralRamp,12350761,2259573,1769420,1233905,173733876,0,0,0,0,0
Volon,CentralHorst,82897973,15022134,11660193,8131236,1144878101,0,0,0,0,0
Volon,EastLowland,0,0,0,0,0,0,0,0,0,0
